Total Tourists,Year,Monthly Data,Category : All,Category : Travel,Category : Shopping,Category : Food and Drink,Category : Auto and Vehicles,Flights to “Kerela”,Trains to “Kerela”,Category : Hotels,Rain,T_Max,T_Min
1124432,,2016-08,42,71,75,75,65,26,28,11,213.0037,29.9194,19.7016
1191859,,2016-09,41,71,73,82,61,23,35,22,95.329,29.6249,18.6072
1419742,,2016-10,41,70,63,74,55,11,29,10,100.6568,30.5811,18.9326
1283775,,2016-11,39,70,58,71,49,12,26,8,22.3701,30.7374,17.1545
1527797,,2016-12,41,78,58,69,47,16,29,12,40.9862,30.1878,16.825
1371882,2017,2017-01,33,70,55,65,46,0,29,7,6.1004,29.8135,15.627
1169652,,2017-02,32,62,51,72,48,0,26,7,0,32.2447,16.4118
1122018,,2017-03,33,60,53,64,53,11,26,8,199.7528,33.2066,18.5549
1295885,,2017-04,33,72,54,71,49,11,26,9,82.5538,33.7347,20.822
1387403,,2017-05,38,79,49,66,47,10,32,9,172.2756,33.0854,19.9463
1071401,,2017-06,41,85,51,67,52,12,26,7,352.8787,30.2087,19.7733
1155714,,2017-07,37,77,55,65,54,18,23,9,250.8347,30.3858,19.3084
1212269,,2017-08,35,77,71,65,58,4,25,3,410.0115,29.6137,19.9051
1243659,,2017-09,38,83,61,78,61,14,30,6,363.4509,29.8194,19.2242
1459147,,2017-10,36,80,63,69,62,12,24,11,166.9991,30.1482,19.1717
1508638,,2017-11,36,79,60,67,54,20,29,10,53.7195,29.6354,18.2592
1767722,,2017-12,35,86,56,72,51,13,28,8,25.0499,29.2089,16.1059
1590463,2018,2018-01,33,78,55,66,55,0,23,9,1.0272,29.4993,15.684
1378781,,2018-02,33,67,54,65,52,21,19,6,27.7061,31.4577,15.932
1349162,,2018-03,31,72,46,67,52,21,22,5,64.5,32.4812,17.7959
1556044,,2018-04,28,80,52,60,49,12,24,5,60.8279,32.834,20.2416
1639759,,2018-05,35,82,46,56,58,0,22,4,384.226,31.4821,19.5685
1120984,,2018-06,30,69,46,58,51,6,15,7,611.8594,29.903,19.2907
1245862,,2018-07,28,76,49,54,57,11,21,6,806.1457,29.6832,18.5859
1055698,,2018-08,100,100,58,73,51,6,44,5,905.2106,28.8501,19.2604
1164214,,2018-09,28,56,44,51,56,3,14,2,118.3666,30.7625,19.1575
1354291,,2018-10,23,59,43,47,49,3,13,3,273.2087,29.993,18.0567
1464076,,2018-11,21,64,44,50,48,10,15,3,119.8589,29.9608,17.5342
1781733,,2018-12,20,71,43,52,45,0,16,6,46.888,29.7091,17.3679
1676139,2019,2019-01,21,67,42,51,50,6,16,3,0,31.4928,15.0054
1483689,,2019-02,20,63,43,50,46,4,11,4,11.3686,32.4672,16.7965
1453109,,2019-03,19,69,42,48,47,11,11,9,5.129,34.1201,18.9008
1699950,,2019-04,20,74,44,47,41,5,17,3,163.2889,34.3627,19.8275
1868938,,2019-05,24,75,38,45,45,15,15,2,52.7521,33.7612,20.6685
1387171,,2019-06,23,74,38,48,48,14,12,3,205.9224,31.6159,20.3406
1508542,,2019-07,21,70,41,48,46,10,13,6,337.2729,29.8465,18.8247
1395385,,2019-08,23,74,60,48,53,5,27,2,1269.6206,29.7826,18.9168
