,Year,Month,Total Tourists,Category : All,Category : Travel,Category : Shopping,Category : Food and Drink,Category : Auto and Vehicles,Flights to “Kerela”,Trains to “Kerela”,Category : Hotels,Rain,T_Max,T_Min
49,2014,Feb,969718,34,45,52,61,49,10,33,6,2.7506,30.9909,16.5565
50,2014,Mar,939050,33,48,47,62,47,18,42,6,21.9067,33.1407,18.1416
51,2014,Apr,956550,41,53,51,65,45,21,49,9,28.3886,33.4501,20.2364
52,2014,May,1130388,42,57,56,59,46,14,40,7,129.4083,32.0048,19.926
53,2014,Jun,831745,41,56,63,64,49,0,40,2,384.8741,31.3035,20.2267
54,2014,Jul,826525,39,62,56,81,52,15,39,15,806.1305,29.526,19.5594
55,2014,Aug,969382,41,65,70,81,55,0,46,11,824.7058,29.2345,19.3535
56,2014,Sep,1024381,42,69,70,82,57,0,43,16,332.5092,29.5598,19.5149
57,2014,Oct,1246412,41,60,61,79,54,17,41,15,322.8315,29.96,18.7619
58,2014,Nov,1230830,43,65,72,84,50,0,55,18,16.5912,28.6799,17.6885
59,2014,Dec,1377323,44,64,61,82,47,65,46,18,29.7204,28.5871,16.822
60,2015,Jan,1171592,41,58,61,77,53,10,50,12,0.0,29.1275,14.9465
61,2015,Feb,1063128,40,53,58,80,46,46,37,8,4.8065,30.9465,16.245
62,2015,Mar,1007669,35,57,67,84,45,30,43,10,92.4673,32.6903,18.4957
63,2015,Apr,1032072,40,61,60,83,50,22,50,8,216.779,33.0616,19.0942
64,2015,May,1203223,41,64,52,75,52,12,49,14,180.6738,31.7735,19.7629
65,2015,Jun,893161,45,64,57,90,52,14,38,11,604.5692,30.0665,19.9692
66,2015,Jul,899444,40,69,65,73,47,13,33,11,214.2998,30.1206,19.3244
67,2015,Aug,1042686,39,67,73,77,48,22,41,8,163.1785,31.2014,19.8119
68,2015,Sep,1103688,39,66,59,80,60,8,37,7,182.422,31.2812,19.7301
69,2015,Oct,1311865,43,69,57,81,56,26,40,13,173.6359,29.9191,19.4147
70,2015,Nov,1283466,43,62,68,85,58,28,47,10,152.2598,29.1383,18.1968
71,2015,Dec,1431056,41,71,69,87,60,16,61,13,59.6552,29.1395,17.5091
72,2016,Jan,1213770,40,59,65,79,52,17,31,11,5.2033,30.291,15.2252
73,2016,Feb,1146254,39,53,60,81,55,10,27,13,2.0484,32.6454,16.5674
74,2016,Mar,1067504,37,55,58,80,53,0,30,14,82.0886,34.3692,19.1925
75,2016,Apr,1090943,46,59,70,83,54,17,35,6,51.0068,35.2839,21.6655
76,2016,May,1244344,56,70,60,79,54,9,33,11,241.4155,34.5178,20.3029
77,2016,Jun,928982,49,70,60,86,59,16,31,13,336.1765,30.3905,19.1289
78,2016,Jul,970552,43,67,63,82,58,0,29,14,375.0667,29.3277,19.5727
79,2016,Aug,1124432,42,71,75,75,65,26,28,11,213.0037,29.9194,19.7016
80,2016,Sep,1191859,41,71,73,82,61,23,35,22,95.329,29.6249,18.6072
81,2016,Oct,1419742,41,70,63,74,55,11,29,10,100.6568,30.5811,18.9326
82,2016,Nov,1283775,39,70,58,71,49,12,26,8,22.3701,30.7374,17.1545
83,2016,Dec,1527797,41,78,58,69,47,16,29,12,40.9862,30.1878,16.825
84,2017,Jan,1371882,33,70,55,65,46,0,29,7,6.1004,29.8135,15.627
85,2017,Feb,1169652,32,62,51,72,48,0,26,7,0.0,32.2447,16.4118
86,2017,Mar,1122018,33,60,53,64,53,11,26,8,199.7528,33.2066,18.5549
87,2017,Apr,1295885,33,72,54,71,49,11,26,9,82.5538,33.7347,20.822
88,2017,May,1387403,38,79,49,66,47,10,32,9,172.2756,33.0854,19.9463
89,2017,Jun,1071401,41,85,51,67,52,12,26,7,352.8787,30.2087,19.7733
90,2017,Jul,1155714,37,77,55,65,54,18,23,9,250.8347,30.3858,19.3084
91,2017,Aug,1212269,35,77,71,65,58,4,25,3,410.0115,29.6137,19.9051
92,2017,Sep,1243659,38,83,61,78,61,14,30,6,363.4509,29.8194,19.2242
93,2017,Oct,1459147,36,80,63,69,62,12,24,11,166.9991,30.1482,19.1717
94,2017,Nov,1508638,36,79,60,67,54,20,29,10,53.7195,29.6354,18.2592
95,2017,Dec,1767722,35,86,56,72,51,13,28,8,25.0499,29.2089,16.1059
96,2018,Jan,1590463,33,78,55,66,55,0,23,9,1.0272,29.4993,15.684
